epoch,train_loss,valid_loss
1,0.027297670455744206,0.0005801613284126865
2,0.0039100278626685425,0.00043141783610198763
3,0.0017263635487879737,0.0004102685068502039
4,0.0010245592082787495,0.0004035842302117615
5,0.0007174299927270514,0.0004005418148323705
6,0.0005524393192776558,0.0003982967516239257
7,0.00045709683257944374,0.0003972297041088054
8,0.00039825992514695024,0.00039622877238237685
9,0.00036310813620576033,0.00039598638257230166
10,0.0003412823775838429,0.0003954186307981939
11,0.000328478748195852,0.0003946639292517955
12,0.0003203458070826038,0.0003947149247788988
13,0.0003156172298092269,0.0003951381015500801
14,0.00031274778154773353,0.00039469999238462373
15,0.0003110580294298292,0.0003946204093850309
16,0.00031003965088560926,0.0003940244476116229
17,0.0003094625426456332,0.00039453470745586574
18,0.0003091585999986125,0.0003946012018189992
19,0.0003089941722356667,0.0003955626969736686
20,0.0003089447124955892,0.0003947567318782819
21,0.0003087974767105938,0.0003950608583944352
