month,monthly_ic,monthly_rank_ic
202501,0.04354905418344175,0.042677532347926414
202502,0.06337250694947594,0.07318112647958322
202503,-0.004519615105861178,-0.03721473800789985
202504,0.16112098479644849,0.1271740354375142
202505,0.05571565534147148,0.022570967869093427
202506,0.03231719107566791,0.010895148585820042
202507,0.01627169472737602,-0.03146131950517507
202508,0.017842631159516852,-0.016605623793420538
202509,0.032865719490477036,0.005734498848455218
202510,-0.000962180852855352,-0.03387050649672239
202511,0.03161050114970054,0.013171607605963604
202512,0.027099476787279437,-0.01042473924697614
