strategy,total_return_mean,total_return_std,annual_return_mean,annual_return_std,annual_vol_mean,annual_vol_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,win_rate_mean,win_rate_std,avg_turnover_mean,avg_turnover_std,num_days_mean
dlinear_seq10_oo_buffer_risk,0.29529984520991626,,0.3245166122111405,,0.26567786328038123,,1.1574634524541163,,-0.19476387139767848,,0.5560344827586207,,0.5663793103448275,,232.0
dlinear_seq10_oo_top10_drop2,0.35515326784297097,,0.39112683561910067,,0.25170070595416594,,1.3933926275458615,,-0.16959217731441,,0.5431034482758621,,0.4025862068965517,,232.0
dlinear_seq10_oo_top10_full,0.10786264672174495,,0.1176888354335286,,0.2563255013504108,,0.5184684841777777,,-0.22224889134571535,,0.5431034482758621,,1.1439655172413792,,232.0
random_top10_drop2,0.27633694247404483,0.14475670309919444,0.3041941787979915,0.16121020563355043,0.2319493238254826,0.008887706181333072,1.2332627972531123,0.4866148702647742,-0.17923263905539727,0.02031398773482264,0.5418103448275862,0.024666084674097723,0.40258620689655167,0.0,232.0
random_top10_full,0.12103935474304794,0.12201425138506264,0.13272578753728928,0.13409437421363335,0.23054779421730548,0.008675669124058196,0.6299103163235701,0.5160901620449737,-0.18259199485596653,0.02639378381577769,0.5183189655172413,0.029163015813395855,1.9890086206896551,0.0018099126612330398,232.0
