month,monthly_ic,monthly_rank_ic
202501,0.014898612184415615,0.032085580913699646
202502,-0.03897521988633792,-0.06563784352958096
202503,0.04235865614749438,0.057090460779816214
202504,-0.0051162528409221895,0.010728532551618456
202505,-0.011428063982232313,-0.028022591101706216
202506,0.02479272122218139,0.03930781581293455
202507,0.008171908840249754,0.008498169236295015
202508,-0.017004847428120338,-0.020819491762063567
202509,0.007269639746643941,0.02079109141914239
202510,0.009451165692644939,0.011226008926203292
202511,0.023614691131607298,0.040880087862013935
202512,0.012210101561348188,0.01239063717495365
