strategy,total_return_mean,total_return_std,annual_return_mean,annual_return_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,win_rate_mean,win_rate_std,avg_turnover_mean,avg_turnover_std,num_days_mean
dlinear_buffer_risk,0.34825417853423457,,0.40167692880726147,,1.58699860308489,,-0.1400750971409116,,0.5515695067264574,,0.4430493273542601,,223.0
dlinear_top10_drop2,0.32298445496239947,,0.3720258962325551,,1.4992360244284815,,-0.16575592599263378,,0.5426008968609866,,0.4026905829596412,,223.0
dlinear_top10_full,0.2763073162798644,,0.3174501576736901,,1.4070834078128263,,-0.16816251996525577,,0.5291479820627802,,1.033183856502242,,223.0
random_top10_drop2,0.5478518240979258,0.1490332462867646,0.6393894884870283,0.17851949266053854,2.6539386648737278,0.5665046834179656,-0.09285579597589262,0.019046745185880457,0.5885650224215246,0.023453927885369655,0.4026905829596412,0.0,223.0
random_top10_full,0.34109814334151844,0.10563754886304412,0.39387321444170514,0.1241769646763944,1.838979338826951,0.45180229372345976,-0.10480731829822795,0.01889410498622012,0.5645739910313902,0.02367959735680124,1.9886547085201793,0.002163354571115639,223.0
