decile,mean_label
0,-0.0007595827664265355
1,0.0011704532450461669
2,0.001334025422300586
3,0.0014445398298817622
4,0.0015094354777086278
5,0.0015460973209034683
6,0.001678002348596806
7,0.0017855006693573486
8,0.0019801599402848816
9,0.0028048557117637814
