epoch,train_loss,valid_loss
1,0.00833457433779178,0.0017938978871732323
2,0.0021535033613025887,0.0008415573985653095
3,0.001218319806302416,0.0006148871109712603
4,0.000846472922070273,0.000529422382684085
5,0.0006559924894927776,0.00048658690896459945
6,0.000545147199239903,0.00046187313409915383
7,0.00047579442616552114,0.00044576239250587263
8,0.0004311945617544176,0.00043452992751129055
9,0.0004002584981459097,0.0004265587044521759
10,0.0003790382846812557,0.00042094869447159556
11,0.00036326740418785605,0.0004169567515527571
12,0.0003518909386535785,0.00041401523789876866
13,0.0003434939777623091,0.0004117772287654672
14,0.00033714576144622444,0.00041020055433627696
15,0.00033209856864514537,0.00040892532221680346
16,0.0003281207052701763,0.00040797511656027156
17,0.00032527454082998606,0.0004072245843480066
18,0.00032281271454974496,0.0004066689911166708
19,0.0003205387795881914,0.00040622873282006165
20,0.00031912251845291203,0.0004058377552732099
21,0.00031791459457900634,0.0004055483286383208
22,0.00031665615448407057,0.00040526930008733957
23,0.0003157596882625387,0.00040507791907499883
24,0.00031497391394403733,0.00040489926057892006
25,0.0003143290157132814,0.0004047795198670086
26,0.0003138069205933475,0.0004046874313026655
27,0.0003132746973404147,0.00040458320619137894
28,0.0003128539924389394,0.00040447647185304505
29,0.0003125029917131981,0.00040442888803642627
30,0.0003122378352443399,0.00040438942028648184
31,0.00031188274191788816,0.0004043180372797602
32,0.00031169268386920207,0.0004042655602349128
33,0.00031149662942786153,0.000404260915700017
34,0.00031130109584472814,0.0004042000511142849
35,0.0003111181100268431,0.00040418842242228507
36,0.0003109678594949495,0.0004041604429843685
37,0.0003108600468639734,0.000404137457627725
38,0.0003107846995558718,0.00040412575147207025
39,0.0003106377237066948,0.0004041491475490202
40,0.00031052227734170595,0.0004041525748219905
41,0.0003104236936357258,0.00040408269145789517
42,0.0003103633428289523,0.0004041350468543916
43,0.000310281884218245,0.0004041079558487395
44,0.00031022751525221074,0.0004040866498801209
45,0.0003101318790617495,0.00040407509005274846
46,0.0003101206489975147,0.00040407838415281377
47,0.0003100570726834623,0.00040403884085875807
48,0.000309995887399619,0.00040405516063095977
49,0.0003099515421942262,0.00040406919193635023
50,0.0003099262574888316,0.00040414204351860985
51,0.00030986501199016666,0.00040409906798670583
52,0.00030984438038511396,0.00040406252715085287
53,0.0003098304526968699,0.00040411373497856125
54,0.0003098170714581321,0.00040407781633192895
55,0.00030977156209952103,0.00040409532132809904
