trade_date,nav,portfolio_ret,cost,net_ret,turnover,num_positions
20250103,0.944831105184555,-0.05486889481544495,0.0003,-0.05516889481544495,1.0,10
20250106,0.9388123940922439,-0.006010144948959351,0.00035999999999999997,-0.006370144948959351,1.2,10
20250107,0.9727695964882079,0.03653038144111633,0.00035999999999999997,0.03617038144111633,1.2,10
20250108,0.969000144118267,-0.003514969348907471,0.00035999999999999997,-0.003874969348907471,1.2,10
20250109,0.9760140567517662,0.007778298854827881,0.00054,0.007238298854827881,1.8,10
20250110,0.9258563162100565,-0.05097038745880127,0.00041999999999999996,-0.051390387458801264,1.4,10
20250113,0.9310967601301465,0.0062001049518585205,0.00054,0.005660104951858521,1.8,10
20250114,0.9703635563191841,0.04259262681007385,0.00041999999999999996,0.04217262681007385,1.4,10
20250115,0.9605065992959602,-0.009558004140853883,0.0006,-0.010158004140853882,2.0,10
20250116,0.9779896250429939,0.0188018798828125,0.0006,0.0182018798828125,2.0,10
20250117,0.9557676420868426,-0.02224210500717163,0.00047999999999999996,-0.02272210500717163,1.6,10
20250120,0.9552083285810363,-4.519820213317871e-05,0.00054,-0.0005851982021331787,1.8,10
20250121,0.9216459996070128,-0.03453613519668579,0.0006,-0.03513613519668579,2.0,10
20250122,0.92594704150465,0.005266696214675903,0.0006,0.0046666962146759035,2.0,10
20250123,0.9184710174611779,-0.007653921842575073,0.00041999999999999996,-0.008073921842575073,1.4,10
20250124,0.9067162964860033,-0.012498140335083008,0.0003,-0.012798140335083008,1.0,10
20250127,0.910252790521087,0.004260331392288208,0.00035999999999999997,0.003900331392288208,1.2,10
20250205,0.927359470487289,0.01927332878112793,0.00047999999999999996,0.018793328781127928,1.6,10
20250206,0.9397614702543123,0.01385345458984375,0.00047999999999999996,0.01337345458984375,1.6,10
20250207,0.9567060416073093,0.0183907151222229,0.00035999999999999997,0.0180307151222229,1.2,10
20250210,0.9571016903334434,0.0008335530757904053,0.00041999999999999996,0.00041355307579040535,1.4,10
20250211,0.940559633716054,-0.016683489084243774,0.0006,-0.017283489084243774,2.0,10
20250212,0.9490035085991491,0.009577500820159911,0.0006,0.008977500820159912,2.0,10
20250213,0.936355418194491,-0.012967759370803833,0.00035999999999999997,-0.013327759370803832,1.2,10
20250214,0.9252012510299821,-0.011552321910858154,0.00035999999999999997,-0.011912321910858153,1.2,10
20250217,0.9544973345260761,0.031964552402496335,0.0003,0.03166455240249633,1.0,10
20250218,0.9315672514131579,-0.02354320287704468,0.00047999999999999996,-0.02402320287704468,1.6,10
20250219,0.9485018326592477,0.01859859228134155,0.00041999999999999996,0.01817859228134155,1.4,10
20250220,0.9275708938302647,-0.02152736783027649,0.00054,-0.022067367830276487,1.8,10
20250221,0.9216872997333608,-0.00580301284790039,0.00054,-0.00634301284790039,1.8,10
20250224,0.8958263537143145,-0.027578264474868774,0.00047999999999999996,-0.028058264474868776,1.6,10
20250225,0.8845836492084782,-0.011950093507766723,0.0006,-0.012550093507766723,2.0,10
