strategy,total_return_mean,total_return_std,annual_return_mean,annual_return_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,win_rate_mean,win_rate_std,avg_turnover_mean,avg_turnover_std,num_days_mean
mlp_buffer_risk,0.6266701063570514,,0.6597048738338742,,1.7693939798633895,,-0.09076975199455795,,0.5165289256198347,,0.5338842975206611,,242.0
mlp_top10_drop2,0.3654844080697688,,0.38317492390024444,,1.1434319849326224,,-0.12437691147685814,,0.5289256198347108,,0.4024793388429752,,242.0
mlp_top10_full,0.03197566677367458,,0.033318751785215595,,0.0366794656337637,,-0.15109371376962488,,0.4834710743801653,,1.2768595041322315,,242.0
random_top10_drop2,0.6079734582908689,0.13028106085799473,0.6400599342296798,0.13856962813740656,2.2915167229925313,0.41248761849902515,-0.09239928364600451,0.018850378251290763,0.5745867768595041,0.016823975990079613,0.4024793388429752,0.0,242.0
random_top10_full,0.5012804642118628,0.17505599174404612,0.5271244805361133,0.1853855680255524,1.936369976821802,0.6164330181778608,-0.09954737905206604,0.018029798576012154,0.5741735537190082,0.027062836613921212,1.9892561983471075,0.002076961528719135,242.0
