month,monthly_ic,monthly_rank_ic
202501,0.020703814569851552,0.04035228880960543
202502,-0.028117778605638674,0.014595313378953695
202503,-0.004637879800109666,-0.002739693763668549
202504,0.1308185534712394,0.1447251175167103
202505,-0.01441148463993637,0.015436932126793016
202506,-0.028826806778055405,0.016790988109960034
202507,-0.025613412998363668,-0.008071722083841774
202508,-0.0574655628535593,-0.043323515325342433
202509,0.00010555390407719069,0.02191681363586584
202510,0.009539339525921717,0.014784739314081178
202511,-0.007770220631173652,0.05292580907740977
202512,-0.04830567399124705,-0.028480757972251778
