total_return,annual_return,annual_vol,sharpe,max_drawdown,win_rate,avg_turnover,num_days,strategy,run
0.9116783391380863,1.021504523501287,0.2857833764300994,2.5969380022443707,-0.14887652393514905,0.6163793103448276,1.5301724137931034,232,lstm_seq10_oo_top10_full,0
0.4370686416263112,0.482699565758544,0.2618683327720259,1.6232561899994782,-0.16579118624498546,0.5646551724137931,0.4025862068965517,232,lstm_seq10_oo_top10_drop2,0
0.547936784843496,0.6073529703525522,0.2557536273709175,1.972635478878811,-0.14531280672768576,0.5431034482758621,0.5982758620689654,232,lstm_seq10_oo_buffer_risk,0
0.17281042259221113,0.18903799392336929,0.21600254609854116,0.9419268931373634,-0.18324183058042265,0.5431034482758621,1.9887931034482758,232,random_top10_full,0
0.12088904933171163,0.13197091058940602,0.22981122615571795,0.6266242600311303,-0.19707730351539965,0.5344827586206896,1.985344827586207,232,random_top10_full,1
0.20469021801475407,0.22418597533619433,0.22159790254039446,1.0461773665288812,-0.17021878937044277,0.5387931034482759,1.9879310344827585,232,random_top10_full,2
0.07078941293287544,0.07712167213964372,0.23187127595051865,0.4466663617027225,-0.20685633568113793,0.49137931034482757,1.9905172413793102,232,random_top10_full,3
0.2590430155958925,0.28429489150161014,0.22799770995391525,1.1818793204077989,-0.1220235514716913,0.5301724137931034,1.9896551724137932,232,random_top10_full,4
0.1313143476635954,0.14341147028011547,0.23580706793683287,0.6634273734248818,-0.19272280504528783,0.5344827586206896,1.989655172413793,232,random_top10_full,5
0.19129033673759643,0.20940249993386484,0.24735113420831248,0.9082774423265478,-0.19400687878802003,0.5646551724137931,1.9905172413793104,232,random_top10_full,6
0.05691064092872544,0.061965810520506315,0.22946378822734886,0.43831100681359336,-0.15123553265091172,0.5,1.9905172413793102,232,random_top10_full,7
0.27780337131972854,0.3050945113288215,0.2265793427273677,1.4271910144710176,-0.16822726785986608,0.5603448275862069,1.9905172413793102,232,random_top10_full,8
0.04493685448662621,0.04890399740854856,0.24313152695819434,0.3216165573067232,-0.20641697846474527,0.5431034482758621,1.9870689655172413,232,random_top10_full,9
0.4340009575953774,0.47926193805278827,0.24375579477690604,1.7138653081448962,-0.14835306720045827,0.5431034482758621,1.9879310344827585,232,random_top10_full,10
0.04000993476927728,0.043533118813700034,0.21818395725617834,0.2730787901616392,-0.1903766865704375,0.49137931034482757,1.986206896551724,232,random_top10_full,11
0.11318202070879035,0.12351922824276196,0.22740667912434728,0.5951895334220054,-0.21973441512101477,0.5086206896551724,1.9896551724137932,232,random_top10_full,12
0.04924800940189167,0.05360541694017784,0.22448626692760604,0.3356710668132033,-0.17346949115451915,0.49137931034482757,1.9887931034482758,232,random_top10_full,13
0.15267880655543853,0.16688481941211175,0.22544814574197058,0.860336679043486,-0.15734880404920648,0.5344827586206896,1.9922413793103448,232,random_top10_full,14
0.02914241872107537,0.03169411076451967,0.2419577044031997,0.21655224386475982,-0.19712954142502637,0.5344827586206896,1.9879310344827585,232,random_top10_full,15
-0.12289858904509199,-0.13275798372392067,0.23186212158103023,-0.5070295919843104,-0.21023135639975932,0.47413793103448276,1.9905172413793102,232,random_top10_full,16
0.04240273970633135,0.046141263245826014,0.22121007321506897,0.2658569821241005,-0.15061842212503473,0.49137931034482757,1.9896551724137932,232,random_top10_full,17
0.1840308820461123,0.2013994505352339,0.23547460269593856,0.9109251246560066,-0.21557420188621468,0.49137931034482757,1.986206896551724,232,random_top10_full,18
-0.03148775520196001,-0.034155344499493645,0.2315570178667201,-0.06833740592504509,-0.19697663775973406,0.46551724137931033,1.9905172413793104,232,random_top10_full,19
0.16692037744169275,0.18255306936932358,0.22542190029920436,0.8876994864368802,-0.1703361123332645,0.5474137931034483,0.4025862068965517,232,random_top10_drop2,0
0.1477382233176563,0.16145319026227445,0.22809307752259836,0.743272635952281,-0.17630095029106185,0.5862068965517241,0.4025862068965517,232,random_top10_drop2,1
0.3330521180171877,0.3665005562352328,0.22439224232541524,1.526287560515652,-0.19195941895192636,0.5517241379310345,0.4025862068965517,232,random_top10_drop2,2
0.2186752551850235,0.23963014951821893,0.2269612069897042,1.0714666555967998,-0.17988235661955754,0.5344827586206896,0.4025862068965517,232,random_top10_drop2,3
0.35609125883246984,0.39217276530223955,0.22767960687064961,1.5381202947798474,-0.144627963046691,0.5517241379310345,0.4025862068965517,232,random_top10_drop2,4
0.27291050634910485,0.29966723479200064,0.22483763776136337,1.2537096244718444,-0.1851926371518846,0.521551724137931,0.4025862068965517,232,random_top10_drop2,5
0.2628683374991494,0.28853387327309266,0.2450803807942825,1.1731269073597401,-0.231323089047346,0.5474137931034483,0.4025862068965517,232,random_top10_drop2,6
0.08450195071629452,0.09211264496452376,0.22105802328841043,0.5725736581901872,-0.179582736257635,0.5,0.4025862068965517,232,random_top10_drop2,7
0.2303385109345959,0.25252199495841543,0.2335991912711879,1.215249079741854,-0.16120893707699524,0.5689655172413793,0.4025862068965517,232,random_top10_drop2,8
0.19101378733976393,0.20909754604911823,0.24154150877994515,0.9101627577386013,-0.1882573187289629,0.5258620689655172,0.4025862068965517,232,random_top10_drop2,9
0.1942441552257097,0.21266008661962266,0.22379515992869192,0.957085424762602,-0.16007867184477043,0.5560344827586207,0.4025862068965517,232,random_top10_drop2,10
0.3004496876897076,0.33023755923331155,0.22259982073755874,1.362851016185386,-0.16218267195503067,0.5646551724137931,0.4025862068965517,232,random_top10_drop2,11
0.31362333853387425,0.344881007701064,0.23222407425819053,1.362024492358053,-0.15794890611501022,0.5474137931034483,0.4025862068965517,232,random_top10_drop2,12
0.38970109858868063,0.4296910921083701,0.23395972786739627,1.6368699658689478,-0.1947579129121373,0.5603448275862069,0.4025862068965517,232,random_top10_drop2,13
0.19545285032683624,0.21399328327865796,0.2218327096107691,1.0490968447648648,-0.1701335536145685,0.5129310344827587,0.4025862068965517,232,random_top10_drop2,14
0.11924965587438607,0.13017269813365573,0.2361783180194944,0.6013264280354412,-0.19263492517326897,0.5172413793103449,0.4025862068965517,232,random_top10_drop2,15
0.11427166572811376,0.1247138494991129,0.2534167780787526,0.5825295647316953,-0.20989033458022888,0.5172413793103449,0.4025862068965517,232,random_top10_drop2,16
0.5276407181374079,0.5844740265308792,0.23448507328861123,2.0354053896624964,-0.1554721356050085,0.5172413793103449,0.4025862068965517,232,random_top10_drop2,17
0.6374940510185154,0.7086121911786125,0.24140624305344682,2.355560135035614,-0.18919113028779755,0.5862068965517241,0.4025862068965517,232,random_top10_drop2,18
0.47050130272472646,0.5202047569521029,0.24042379576397918,1.830838022873457,-0.18369101951479905,0.521551724137931,0.4025862068965517,232,random_top10_drop2,19
