month,monthly_ic,monthly_rank_ic
202501,0.106115403049978,0.11108959041572505
202502,0.0638092617413347,0.06858793332342004
202503,0.012765212550437234,-0.0087073135312493
202504,0.13740364352942339,0.14595859837906308
202505,0.039228635479196104,0.034235974150208466
202506,0.018635142877593523,0.030418658584863485
202507,0.06509873548860298,0.06294358152927927
202508,0.03331322431697907,0.051866591287159355
202509,0.020944138694243143,0.022799428484757456
202510,0.031713703646097394,0.03083131884480845
202511,0.06421839918304681,0.08953120380317668
202512,0.0015958845805283024,-0.014778109564947834
