strategy,total_return_mean,total_return_std,annual_return_mean,annual_return_std,annual_vol_mean,annual_vol_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,win_rate_mean,win_rate_std,avg_turnover_mean,avg_turnover_std,num_days_mean
lstm_seq10_oo_buffer_risk,0.547936784843496,,0.6073529703525522,,0.2557536273709175,,1.972635478878811,,-0.14531280672768576,,0.5431034482758621,,0.5982758620689654,,232.0
lstm_seq10_oo_top10_drop2,0.4370686416263112,,0.482699565758544,,0.2618683327720259,,1.6232561899994782,,-0.16579118624498546,,0.5646551724137931,,0.4025862068965517,,232.0
lstm_seq10_oo_top10_full,0.9116783391380863,,1.021504523501287,,0.2857833764300994,,2.5969380022443707,,-0.14887652393514905,,0.6163793103448276,,1.5301724137931034,,232.0
random_top10_drop2,0.27633694247404483,0.14475670309919444,0.3041941787979915,0.16121020563355043,0.2319493238254826,0.008887706181333072,1.2332627972531123,0.4866148702647742,-0.17923263905539727,0.02031398773482264,0.5418103448275862,0.024666084674097723,0.40258620689655167,0.0,232.0
random_top10_full,0.12103935474304794,0.12201425138506264,0.13272578753728928,0.13409437421363335,0.23054779421730548,0.008675669124058196,0.6299103163235701,0.5160901620449737,-0.18259199485596653,0.02639378381577769,0.5183189655172413,0.029163015813395855,1.9890086206896551,0.0018099126612330398,232.0
