epoch,train_loss,valid_loss
1,0.02737652459892176,0.0006762523506598098
2,0.00396850071373885,0.0005281044970770821
3,0.0017873827521926013,0.0005069506451842989
4,0.0010858340084284417,0.0005004575291508797
5,0.0007779037025441431,0.0004976209717767072
6,0.0006126341966407027,0.000495166320496582
7,0.000516919242080017,0.0004945551909587818
8,0.0004580626885753946,0.0004933052726810149
9,0.0004227258934899849,0.0004931942417509575
10,0.00040075556085034575,0.0004932378835100044
11,0.00038783401704661676,0.0004923231875662151
12,0.00037981628615930046,0.0004924545356998651
13,0.00037488003875034214,0.0004928030088352142
14,0.0003720834906512903,0.0004924472610119877
15,0.0003703847977380126,0.0004923365422222823
16,0.00036927832633856745,0.0004918259774043744
17,0.0003687256248667836,0.0004921879510641206
18,0.000368430373906079,0.0004921019519921475
19,0.0003683523435769129,0.000493860742943895
20,0.0003682651124910404,0.0004925270953510785
21,0.00036808390316348205,0.0004933407713255293
22,0.00036806938281851046,0.000493348231214273
23,0.0003680852207284168,0.0004917204288458082
24,0.0003679825350152865,0.0004924691514047123
25,0.0003680319390141295,0.000492539394870591
26,0.0003680159353603751,0.000491989776858389
27,0.00036790925157019645,0.0004919731783619983
28,0.0003680273761254562,0.0004924355348811548
29,0.0003680102033856309,0.000491769295996287
30,0.0003680985788933112,0.0004915409688938623
31,0.00036810281029428846,0.0004918771702680968
32,0.0003680841833495109,0.0004934757103478471
33,0.0003680200335743316,0.0004921958840616458
34,0.0003678965588471205,0.0004932304655469902
35,0.0003680542665849424,0.0004924394889145215
36,0.00036793972722696676,0.0004918329099128596
37,0.0003680776665579149,0.0004930537584379496
38,0.000367995546893927,0.0004916202690058837
