trade_date,nav,portfolio_ret,cost,net_ret,turnover,num_positions
20250103,0.9352591595172882,-0.06444084048271179,0.0003,-0.06474084048271178,1.0,10
20250106,0.9332419407111429,-0.0015568554401397706,0.0006,-0.0021568554401397706,2.0,10
20250107,0.968174694476189,0.0379716157913208,0.00054,0.0374316157913208,1.8,10
20250108,0.9666103906281048,-0.0011357247829437255,0.00047999999999999996,-0.0016157247829437255,1.6,10
20250109,0.9638522555778095,-0.002373409271240234,0.00047999999999999996,-0.002853409271240234,1.6,10
20250110,0.9022646762211576,-0.06353732347488403,0.00035999999999999997,-0.06389732347488403,1.2,10
20250113,0.9148826112790849,0.014404737949371338,0.00041999999999999996,0.013984737949371337,1.4,10
20250114,0.9601056486225319,0.04991042613983154,0.00047999999999999996,0.04943042613983154,1.6,10
20250115,0.9580072828978256,-0.001705557107925415,0.00047999999999999996,-0.002185557107925415,1.6,10
20250116,0.9805112031894272,0.023910343647003174,0.00041999999999999996,0.023490343647003174,1.4,10
20250117,0.9732692343273394,-0.006965911388397217,0.00041999999999999996,-0.007385911388397217,1.4,10
20250120,1.0061429264386694,0.0342565655708313,0.00047999999999999996,0.0337765655708313,1.6,10
20250121,0.9911737412800566,-0.014277791976928711,0.0006,-0.014877791976928711,2.0,10
20250122,0.9976959198399368,0.007120257616043091,0.00054,0.0065802576160430915,1.8,10
20250123,0.9814571874001302,-0.015736234188079835,0.00054,-0.016276234188079833,1.8,10
20250124,1.0030096542006528,0.02255966067314148,0.0006,0.02195966067314148,2.0,10
20250127,0.9962895423378983,-0.006219947338104248,0.00047999999999999996,-0.006699947338104247,1.6,10
20250205,1.0033304621589347,0.007667142152786255,0.0006,0.007067142152786255,2.0,10
20250206,1.0375657158298988,0.03472161293029785,0.0006,0.03412161293029785,2.0,10
20250207,1.0607283782247972,0.022864043712615967,0.00054,0.022324043712615968,1.8,10
20250210,1.1047250066933798,0.04183775186538696,0.00035999999999999997,0.041477751865386964,1.2,10
20250211,1.0945295388344078,-0.008808964490890503,0.00041999999999999996,-0.009228964490890503,1.4,10
20250212,1.1026503343480123,0.007899439334869385,0.00047999999999999996,0.007419439334869386,1.6,10
20250213,1.0928173575164593,-0.008497583866119384,0.00041999999999999996,-0.008917583866119384,1.4,10
20250214,1.0926996334327026,0.00031227469444274905,0.00041999999999999996,-0.00010772530555725092,1.4,10
