month,monthly_ic,monthly_rank_ic
202501,0.0763854004382945,0.08102311433928171
202502,0.05083045352963994,0.07222501690957553
202503,0.03572711127659678,-0.0013847268783165306
202504,0.18739198916820515,0.1897779006888091
202505,0.07010929587003151,0.07432662424604601
202506,0.029151941685498624,0.045109563612909936
202507,0.06046398332940967,0.03196450295369719
202508,0.012614193328642534,0.009933746676714787
202509,0.03638684291242731,0.03575709355699271
202510,0.05810593070542908,0.027654170604909732
202511,0.0534288162753344,0.05782327124091851
202512,0.02072055881605433,-0.01020593789159989
