strategy,total_return_mean,total_return_std,annual_return_mean,annual_return_std,annual_vol_mean,annual_vol_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,win_rate_mean,win_rate_std,avg_turnover_mean,avg_turnover_std,num_days_mean
mlp_oo_buffer_risk,0.7160991879572021,,0.7589262889649702,,0.31045676572986525,,1.8074855965382994,,-0.19936470516663019,,0.5062240663900415,,0.5900414937759334,,241.0
mlp_oo_top10_drop2,0.4892360730705272,,0.5165549437851413,,0.302415648464058,,1.2966383619432829,,-0.16573621301764396,,0.5269709543568465,,0.40248962655601667,,241.0
mlp_oo_top10_full,0.6407478051309805,,0.6782514045119554,,0.307673733317105,,1.6095985513502706,,-0.2039419919729203,,0.5311203319502075,,1.5253112033195022,,241.0
random_top10_drop2,0.340836349451935,0.12046855893944566,0.3591572261873065,0.12760509262842532,0.23979027079900583,0.012088043922258243,1.2199810718405768,0.4206624243925179,-0.17629856364744398,0.027888381169902762,0.5427385892116183,0.019536660888072082,0.40248962655601667,0.0,241.0
random_top10_full,0.180857028363164,0.13275335150186215,0.19019777502501908,0.1397212998805016,0.24198262828819797,0.0073145355019984355,0.6407893628099284,0.5193270040692081,-0.18690449952420835,0.026294989719949095,0.5275933609958506,0.015306589245530872,1.9898755186721993,0.0020076525106366267,241.0
