month,monthly_ic,monthly_rank_ic
202501,-0.02105692250518887,-0.0369147609701578
202502,0.05965445257142337,0.062168674550693186
202503,0.024043593808148328,-0.00562853804339102
202504,0.11770646349688445,0.08801201348069539
202505,0.022599084189010715,-0.02608123662836803
202506,0.04513034105082917,-0.00464812041186417
202507,0.0006067826728704555,-0.03951603935953999
202508,0.015639060079918818,-0.0130516985546121
202509,0.0034678168842765867,-0.031653815065546216
202510,-0.01217602174780147,-0.04945575579026064
202511,0.0475011867330116,0.02548276737043492
202512,0.028988581872730353,-0.02383209455579752
