trade_date,nav,portfolio_ret,cost,net_ret,turnover,num_positions
20250116,1.0024728617191314,0.00277286171913147,0.0003,0.00247286171913147,1.0,10
20250117,0.9986576086189765,-0.0032058417797088622,0.0006,-0.003805841779708862,2.0,10
20250120,0.9978075296347926,-0.0002512216567993164,0.0006,-0.0008512216567993164,2.0,10
20250121,0.977266243882648,-0.01998642086982727,0.0006,-0.02058642086982727,2.0,10
20250122,0.9693283293458996,-0.007522571086883545,0.0006,-0.008122571086883546,2.0,10
20250123,0.9502761146405079,-0.019055068492889404,0.0006,-0.019655068492889404,2.0,10
20250124,0.9484086804640012,-0.0013651490211486817,0.0006,-0.0019651490211486816,2.0,10
20250127,0.9487084437547562,0.0009160697460174561,0.0006,0.00031606974601745613,2.0,10
20250205,0.9477341411752355,-0.00042697787284851074,0.0006,-0.0010269778728485106,2.0,10
20250206,0.9580376908584823,0.011471772193908691,0.0006,0.010871772193908691,2.0,10
20250207,0.959325173146308,0.0019438743591308593,0.0006,0.0013438743591308593,2.0,10
20250210,0.972488410619427,0.014321351051330566,0.0006,0.013721351051330566,2.0,10
20250211,0.9727839367738883,0.0009038865566253663,0.0006,0.0003038865566253663,2.0,10
20250212,0.9932540386316142,0.02164280414581299,0.0006,0.02104280414581299,2.0,10
20250213,0.9823432370403743,-0.010384905338287353,0.0006,-0.010984905338287353,2.0,10
20250214,0.9811587941655372,-0.0006057322025299072,0.0006,-0.001205732202529907,2.0,10
20250217,1.0035238545745915,0.0233945369720459,0.0006,0.0227945369720459,2.0,10
20250218,0.9868856450972386,-0.015979784727096557,0.0006,-0.016579784727096557,2.0,10
20250219,1.0130779660392393,0.02708038091659546,0.00054,0.02654038091659546,1.8,10
20250220,1.0114967750319335,-0.0009607791900634766,0.0006,-0.0015607791900634767,2.0,10
20250221,1.0258752827765243,0.014815080165863036,0.0006,0.014215080165863037,2.0,10
20250224,1.0239296589725797,-0.0012965500354766846,0.0006,-0.0018965500354766844,2.0,10
20250225,1.0298865660587615,0.006417691707611084,0.0006,0.005817691707611084,2.0,10
20250226,1.035514226111377,0.0060643494129180905,0.0006,0.005464349412918091,2.0,10
20250227,1.0452551664454528,0.010006862878799438,0.0006,0.009406862878799438,2.0,10
20250228,1.0306123356797787,-0.013408857583999633,0.0006,-0.014008857583999633,2.0,10
20250303,1.0170357929228746,-0.012573277950286866,0.0006,-0.013173277950286865,2.0,10
20250304,1.0322458181206509,0.015555250644683837,0.0006,0.014955250644683837,2.0,10
20250305,1.0306863681001004,-0.0009107351303100586,0.0006,-0.0015107351303100586,2.0,10
20250306,1.0483718983537693,0.017758983373641967,0.0006,0.017158983373641967,2.0,10
20250307,1.0458386646848274,-0.001816350221633911,0.0006,-0.002416350221633911,2.0,10
20250310,1.0452961515365369,8.126497268676758e-05,0.0006,-0.0005187350273132324,2.0,10
20250311,1.056120828611907,0.010955607891082764,0.0006,0.010355607891082764,2.0,10
20250312,1.053549664858065,-0.001834535598754883,0.0006,-0.0024345355987548827,2.0,10
20250313,1.0448438327070433,-0.007663333415985107,0.0006,-0.008263333415985107,2.0,10
20250314,1.0705792854363398,0.025230908393859865,0.0006,0.024630908393859865,2.0,10
20250317,1.0843798366127708,0.013430732488632201,0.00054,0.012890732488632201,1.8,10
20250318,1.0868363044258271,0.0028653204441070556,0.0006,0.0022653204441070557,2.0,10
20250319,1.0798319247826766,-0.005844742059707642,0.0006,-0.0064447420597076414,2.0,10
20250320,1.0928369751504803,0.012643587589263917,0.0006,0.012043587589263917,2.0,10
20250321,1.0786183421425297,-0.012410753965377807,0.0006,-0.013010753965377807,2.0,10
20250324,1.0845538407027608,0.006102871894836426,0.0006,0.005502871894836426,2.0,10
20250325,1.0785048381471276,-0.004977411031723023,0.0006,-0.005577411031723023,2.0,10
20250326,1.1021920961809628,0.0225630521774292,0.0006,0.0219630521774292,2.0,10
20250327,1.109874018683917,0.0075696766376495365,0.0006,0.006969676637649537,2.0,10
20250328,1.093500446725167,-0.014152640104293823,0.0006,-0.014752640104293823,2.0,10
20250331,1.0815813586499754,-0.010299938917160033,0.0006,-0.010899938917160033,2.0,10
20250401,1.0931900558936019,0.011333078145980835,0.0006,0.010733078145980835,2.0,10
20250402,1.100079297609103,0.0069019615650177,0.0006,0.0063019615650177,2.0,10
20250403,1.111191933735974,0.01070166826248169,0.0006,0.01010166826248169,2.0,10
20250407,1.0581854208369983,-0.047102391719818115,0.0006,-0.04770239171981812,2.0,10
20250408,1.059285687610148,0.0015797674655914306,0.00054,0.0010397674655914305,1.8,10
20250409,1.122078066293836,0.05987803936004639,0.0006,0.059278039360046386,2.0,10
20250410,1.1263316933315384,0.004390847682952881,0.0006,0.003790847682952881,2.0,10
20250411,1.1455392630686079,0.01765320897102356,0.0006,0.01705320897102356,2.0,10
20250414,1.1631667782730688,0.01598796248435974,0.0006,0.015387962484359741,2.0,10
20250415,1.1515984526162844,-0.009345543384552003,0.0006,-0.009945543384552002,2.0,10
20250416,1.1448535009774596,-0.005257034301757812,0.0006,-0.005857034301757812,2.0,10
20250417,1.1539649947713169,0.00855865478515625,0.0006,0.00795865478515625,2.0,10
20250418,1.1624699223354373,0.007970178127288818,0.0006,0.007370178127288818,2.0,10
20250421,1.183987386259147,0.019110125303268433,0.0006,0.018510125303268433,2.0,10
20250422,1.174869380189912,-0.00710110068321228,0.0006,-0.00770110068321228,2.0,10
20250423,1.1784839964660052,0.0036766111850738527,0.0006,0.003076611185073853,2.0,10
20250424,1.177145202665808,-0.0005360305309295655,0.0006,-0.0011360305309295654,2.0,10
20250425,1.1703735630078467,-0.005152595043182373,0.0006,-0.005752595043182373,2.0,10
20250428,1.1619836943099506,-0.006568539142608643,0.0006,-0.007168539142608643,2.0,10
20250429,1.1709184401885837,0.008289217948913574,0.0006,0.007689217948913574,2.0,10
20250430,1.1750459475112272,0.004125016927719116,0.0006,0.0035250169277191165,2.0,10
20250506,1.1885243340631988,0.012070518732070924,0.0006,0.011470518732070924,2.0,10
20250507,1.1980598057441214,0.008622950315475464,0.0006,0.008022950315475464,2.0,10
20250508,1.202395821668825,0.004219198226928711,0.0006,0.0036191982269287108,2.0,10
20250509,1.183113285359957,-0.015436762571334839,0.0006,-0.01603676257133484,2.0,10
20250512,1.1844760356502384,0.0017518341541290284,0.0006,0.0011518341541290286,2.0,10
20250513,1.1667900579239707,-0.014331477880477905,0.0006,-0.014931477880477904,2.0,10
20250514,1.1708257608136694,0.004058808088302612,0.0006,0.0034588080883026125,2.0,10
20250515,1.167372819809461,-0.0023491501808166502,0.0006,-0.00294915018081665,2.0,10
