strategy,total_return_mean,total_return_std,annual_return_mean,annual_return_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,win_rate_mean,win_rate_std,avg_turnover_mean,avg_turnover_std,num_days_mean
lstm_buffer_risk,0.715329934595792,,0.7924933874174753,,2.3923263125184016,,-0.11348765858050236,,0.6051502145922747,,0.5991416309012874,,233.0
lstm_top10_drop2,1.7261757231982293,,1.9584968586010714,,3.8489303769958783,,-0.11360461189868276,,0.6266094420600858,,0.4025751072961374,,233.0
lstm_top10_full,1.8376559975424112,,2.089558176652886,,3.967255537944085,,-0.13890989921754748,,0.6223175965665236,,1.6489270386266097,,233.0
random_top10_drop2,0.5162139839636691,0.2161842641529649,0.5698778980367738,0.2423503026501571,2.3078734321334338,0.7419853700432728,-0.09243926437332635,0.020114370926994134,0.5819742489270386,0.024053688680463283,0.4025751072961373,0.0,233.0
random_top10_full,0.4026996147548534,0.11134546409106447,0.44232912468811214,0.1236875331724069,1.963034510038997,0.43797986743296047,-0.09776238464423484,0.02064637006871548,0.5656652360515022,0.024697991423118296,1.9882403433476394,0.002445341177187068,233.0
