month,monthly_ic,monthly_rank_ic
202501,0.03216406831906046,0.007805883275692519
202502,0.06388128254754309,0.09464162686571996
202503,0.004378117583379231,-0.027635234450454824
202504,0.060333345447299014,0.04453744109443939
202505,0.025020409928337463,-0.00035589557386578064
202506,0.03244892964397834,-0.002256187095142357
202507,0.03400528035830073,0.0013197644460965342
202508,0.049970606872278174,0.037404773636024964
202509,-0.004513634851246906,-0.033801552294069774
202510,-0.02393136693380342,-0.043528262276684514
202511,0.04482143134929398,0.028927333783739514
202512,0.020921081117855178,-0.014399090872242205
