month,monthly_ic,monthly_rank_ic
202501,-0.0027592933790610685,-0.026560817129858492
202502,0.029051823817254026,0.027465425846535333
202503,0.023803953340532116,-0.0027911908207443248
202504,0.031223969672347678,0.032288534585158145
202505,0.02425855928668028,-0.012517607011801248
202506,0.05119481051394998,0.038474327395372404
202507,0.0025179529318609876,-0.03461267927676077
202508,-0.004211652229401415,-0.03541345509548522
202509,0.030297378753179043,0.024402311765307022
202510,0.007511718490337651,-0.006376970852594983
202511,0.024263960884530048,0.0013989872054757828
202512,0.027635285805168983,-0.002851764339310071
