trade_date,nav,portfolio_ret,cost,net_ret,turnover,num_positions
20250116,1.0009064814567565,0.0012064814567565919,0.0003,0.000906481456756592,1.0,10
20250117,1.0119966971360093,0.01120017170906067,0.00011999999999999999,0.01108017170906067,0.4,10
20250120,1.0155859447415847,0.003666698932647705,0.00011999999999999999,0.003546698932647705,0.4,10
20250121,1.0145245419214601,-0.0008651137351989747,0.00017999999999999998,-0.0010451137351989747,0.6,10
20250122,1.0100041808461195,-0.004425644874572754,2.9999999999999997e-05,-0.0044556448745727536,0.1,11
20250123,0.98972681352544,-0.019926518201828003,0.00015,-0.020076518201828004,0.5,10
20250124,1.0020542803524692,0.01257542371749878,0.00011999999999999999,0.01245542371749878,0.4,10
20250127,0.9854112194420286,-0.016428941488265993,0.00017999999999999998,-0.016608941488265992,0.6,10
20250205,0.9934479295361033,0.008335691690444947,0.00017999999999999998,0.008155691690444947,0.6,10
20250206,1.0376882781620085,0.0447121262550354,0.00017999999999999998,0.0445321262550354,0.6,10
20250207,1.0470925496788523,0.009242713451385498,0.00017999999999999998,0.009062713451385498,0.6,10
20250210,1.053461915619444,0.006202906370162964,0.00011999999999999999,0.0060829063701629636,0.4,10
20250211,1.048618188098545,-0.004597914218902588,0.0,-0.004597914218902588,0.0,10
20250212,1.0624224935445676,0.013344281911849975,0.00017999999999999998,0.013164281911849976,0.6,10
20250213,1.0440298837492876,-0.017131954431533813,0.00017999999999999998,-0.017311954431533813,0.6,10
20250214,1.0599819037077942,0.015459275245666504,0.00017999999999999998,0.015279275245666505,0.6,10
20250217,1.0809920579164585,0.02000123858451843,0.00017999999999999998,0.01982123858451843,0.6,10
20250218,1.0675982617661528,-0.012330281734466552,5.9999999999999995e-05,-0.012390281734466551,0.2,10
20250219,1.118262086430071,0.047635889053344725,0.00017999999999999998,0.047455889053344726,0.6,10
20250220,1.1110852585516688,-0.006237840652465821,0.00017999999999999998,-0.00641784065246582,0.6,10
20250221,1.1296109688133527,0.016733527183532715,5.9999999999999995e-05,0.016673527183532714,0.2,10
20250224,1.1518473408155183,0.019864982366561888,0.00017999999999999998,0.01968498236656189,0.6,10
20250225,1.165237831514058,0.011805230379104614,0.00017999999999999998,0.011625230379104614,0.6,10
20250226,1.1894315649655565,0.020942914485931396,0.00017999999999999998,0.020762914485931396,0.6,10
20250227,1.1911253896380176,0.00160406231880188,0.00017999999999999998,0.0014240623188018799,0.6,10
20250228,1.1367497780542235,-0.04547061920166016,0.00017999999999999998,-0.04565061920166016,0.6,10
20250303,1.111631653486921,-0.021976441144943237,0.00011999999999999999,-0.022096441144943236,0.4,10
20250304,1.1437215577454067,0.02898738980293274,0.00011999999999999999,0.02886738980293274,0.4,10
20250305,1.1504257144915826,0.005921703577041626,5.9999999999999995e-05,0.005861703577041626,0.2,10
20250306,1.1717006775001264,0.0186731219291687,0.00017999999999999998,0.0184931219291687,0.6,10
20250307,1.1680530341364161,-0.0029931187629699705,0.00011999999999999999,-0.0031131187629699704,0.4,10
20250310,1.1662356166631722,-0.0013759374618530274,0.00017999999999999998,-0.0015559374618530275,0.6,10
20250311,1.210084172059396,0.03771836757659912,0.00011999999999999999,0.037598367576599116,0.4,10
20250312,1.1958303065146958,-0.011659234762191772,0.00011999999999999999,-0.011779234762191773,0.4,10
20250313,1.1666023102361058,-0.024321591854095458,0.00011999999999999999,-0.024441591854095456,0.4,10
20250314,1.1990300784588264,0.027976763248443604,0.00017999999999999998,0.027796763248443605,0.6,10
20250317,1.2113388496759787,0.010445606708526612,0.00017999999999999998,0.010265606708526612,0.6,10
20250318,1.2187351207874162,0.006135864691300826,2.9999999999999997e-05,0.006105864691300826,0.1,11
20250319,1.218493971509089,-4.786849021911621e-05,0.00015,-0.0001978684902191162,0.5,10
20250320,1.2135329630768228,-0.0038914263248443605,0.00017999999999999998,-0.00407142632484436,0.6,10
20250321,1.1633866972487827,-0.04114254117012024,0.00017999999999999998,-0.04132254117012024,0.6,10
20250324,1.1433394733664453,-0.017051780223846437,0.00017999999999999998,-0.017231780223846437,0.6,10
20250325,1.1089790515582854,-0.02987268567085266,0.00017999999999999998,-0.03005268567085266,0.6,10
20250326,1.127710125683385,0.01707037687301636,0.00017999999999999998,0.01689037687301636,0.6,10
20250327,1.1048306447311103,-0.020168441534042358,0.00011999999999999999,-0.020288441534042356,0.4,10
20250328,1.0913917452452886,-0.012163764238357544,0.0,-0.012163764238357544,0.0,10
20250331,1.0978731401525483,0.006058651208877564,0.00011999999999999999,0.005938651208877563,0.4,10
20250401,1.1003007847961903,0.0023912250995635985,0.00017999999999999998,0.0022112250995635985,0.6,10
20250402,1.109857977931095,0.008865982294082642,0.00017999999999999998,0.008685982294082642,0.6,10
20250403,1.1190482802280854,0.00846061110496521,0.00017999999999999998,0.00828061110496521,0.6,10
20250407,1.0470308834111235,-0.06417593359947205,0.00017999999999999998,-0.06435593359947205,0.6,10
20250408,1.0695198056602166,0.02162875731786092,0.00015,0.02147875731786092,0.5,9
20250409,1.0931150126362188,0.022271496057510377,0.00020999999999999998,0.02206149605751038,0.7,10
20250410,1.1234469598557388,0.027868175506591798,0.00011999999999999999,0.0277481755065918,0.4,10
20250411,1.1263887031101845,0.0027984976768493652,0.00017999999999999998,0.002618497676849365,0.6,10
20250414,1.1454134702660315,0.01707005500793457,0.00017999999999999998,0.01689005500793457,0.6,10
20250415,1.1290046795273598,-0.01414564847946167,0.00017999999999999998,-0.01432564847946167,0.6,10
20250416,1.1195917783420788,-0.008277344703674316,5.9999999999999995e-05,-0.008337344703674315,0.2,10
20250417,1.1211641049390155,0.0015843749046325684,0.00017999999999999998,0.0014043749046325684,0.6,10
20250418,1.123090120795315,0.0018978714942932129,0.00017999999999999998,0.0017178714942932129,0.6,10
20250421,1.135055679709359,0.010834139585494996,0.00017999999999999998,0.010654139585494996,0.6,10
20250422,1.1435102822325631,0.007508623600006104,5.9999999999999995e-05,0.0074486236000061035,0.2,10
20250423,1.1312140937222963,-0.01069301962852478,5.9999999999999995e-05,-0.01075301962852478,0.2,10
20250424,1.1256517840398252,-0.0047371149063110355,0.00017999999999999998,-0.004917114906311035,0.6,10
20250425,1.1216193228732694,-0.003402334451675415,0.00017999999999999998,-0.003582334451675415,0.6,10
