epoch,train_loss,valid_loss
1,0.0008614035120037192,0.00040610399051943817
2,0.0003114611561237513,0.0004044642983234392
3,0.0003096917172460335,0.00040423607564173586
4,0.00030938994012981783,0.000404152342614602
5,0.0003093064329606995,0.0004040992044718678
6,0.000309264279073024,0.00040402813463658033
7,0.0003092318052197164,0.00040397946929712276
8,0.00030917559317834994,0.0004038612014252085
9,0.00030908084666187845,0.00040370104075927146
10,0.0003090314644866559,0.00040356340705508697
11,0.00030898636157809085,0.0004035031982031886
12,0.0003088777621401121,0.00040334421791979607
13,0.00030881533743452346,0.0004031785926788713
14,0.00030876542411439504,0.0004030911756904009
15,0.00030870974773404607,0.00040295490786938196
16,0.00030863906030045374,0.0004027294193191772
17,0.00030858171596954547,0.0004026393658492614
18,0.00030850880083844773,0.00040240646668954493
19,0.00030848388795957677,0.0004023679043844414
20,0.00030838153380218186,0.0004021774653508491
