trade_date,ts_code,weight,pred,label
20250102,300006.SZ,0.1,0.0034452825784683228,-0.056756794452667236
20250102,300025.SZ,0.1,0.0031625661067664623,-0.07573151588439941
20250102,000586.SZ,0.1,0.0029628064949065447,-0.07096773386001587
20250102,002856.SZ,0.1,0.0029510692693293095,-0.06030702590942383
20250102,300464.SZ,0.1,0.0029251009691506624,-0.0755813717842102
20250102,300106.SZ,0.1,0.002922098385170102,-0.07553553581237793
20250102,300536.SZ,0.1,0.0029216574039310217,-0.026223719120025635
20250102,300278.SZ,0.1,0.00289747747592628,-0.07573151588439941
20250102,600725.SH,0.1,0.0028815357945859432,-0.07352942228317261
20250102,002193.SZ,0.1,0.002881452674046159,0.09149277210235596
20250103,300006.SZ,0.1,0.003527684137225151,0.01719200611114502
20250103,300025.SZ,0.1,0.0030964019242674112,-0.07135581970214844
20250103,000586.SZ,0.1,0.0032501481473445892,-0.015046298503875732
20250103,002856.SZ,0.1,0.0033714333549141884,-0.02800464630126953
20250103,300464.SZ,0.1,0.0033750333823263645,0.02515721321105957
20250103,300106.SZ,0.1,0.003482893807813525,-0.026829242706298828
20250103,300536.SZ,0.1,0.003048224374651909,-0.04847395420074463
20250103,300278.SZ,0.1,0.003164874855428934,-0.007547140121459961
20250103,002513.SZ,0.1,0.0035155541263520718,-0.02147972583770752
20250103,300591.SZ,0.1,0.003477509133517742,0.007978677749633789
20250106,300006.SZ,0.1,0.003331126645207405,0.019718289375305176
20250106,300025.SZ,0.1,0.0033349290024489164,0.03951704502105713
20250106,000586.SZ,0.1,0.0031974981538951397,0.06815505027770996
20250106,002856.SZ,0.1,0.0033367834985256195,0.034813880920410156
20250106,300464.SZ,0.1,0.0031301500275731087,0.02044987678527832
20250106,300106.SZ,0.1,0.0032981918193399906,0.03884708881378174
20250106,300536.SZ,0.1,0.003258010372519493,0.02452826499938965
20250106,002513.SZ,0.1,0.0032223514281213284,0.04878056049346924
20250106,600590.SH,0.1,0.003335299901664257,0.09991622567176817
20250106,603839.SH,0.1,0.003331296145915985,0.05893898010253906
20250107,300006.SZ,0.1,0.0031989440321922302,-0.027624309062957764
20250107,300025.SZ,0.1,0.003349440637975931,-0.04118269681930542
20250107,000586.SZ,0.1,0.002808461431413889,-0.006600677967071533
20250107,002856.SZ,0.1,0.0028466328512877226,-0.00232011079788208
20250107,300106.SZ,0.1,0.0028886133804917336,0.008443832397460938
