trade_date,action,ts_code,pred
20250102,buy,300006.SZ,0.0034452825784683228
20250102,buy,300025.SZ,0.0031625661067664623
20250102,buy,000586.SZ,0.0029628064949065447
20250102,buy,002856.SZ,0.0029510692693293095
20250102,buy,300464.SZ,0.0029251009691506624
20250102,buy,300106.SZ,0.002922098385170102
20250102,buy,300536.SZ,0.0029216574039310217
20250102,buy,300278.SZ,0.00289747747592628
20250102,buy,600725.SH,0.0028815357945859432
20250102,buy,002193.SZ,0.002881452674046159
20250103,sell,002193.SZ,0.0014267141232267022
20250103,sell,600725.SH,0.0029394503217190504
20250103,buy,002513.SZ,0.0035155541263520718
20250103,buy,300591.SZ,0.003477509133517742
20250106,sell,300591.SZ,0.002830369397997856
20250106,sell,300278.SZ,0.0031299267429858446
20250106,buy,600590.SH,0.003335299901664257
20250106,buy,603839.SH,0.003331296145915985
20250107,sell,300464.SZ,0.002628389745950699
20250107,sell,002513.SZ,0.002725239610299468
20250107,buy,601798.SH,0.0034632650204002857
20250107,buy,002491.SZ,0.003392162499949336
20250108,sell,600590.SH,0.0015181591734290123
20250108,sell,002491.SZ,0.0015424034791067243
20250108,buy,600807.SH,0.003613937646150589
20250108,buy,603015.SH,0.0032223681919276714
20250109,sell,603015.SH,
20250109,sell,300106.SZ,0.0020652844104915857
20250109,buy,002547.SZ,0.003198738442733884
20250109,buy,603002.SH,0.003178903367370367
20250110,sell,603002.SH,-0.0002860305830836296
20250110,sell,002547.SZ,0.0005934280343353748
20250110,buy,002861.SZ,0.00329528097063303
20250110,buy,601086.SH,0.00328362756408751
20250113,sell,300536.SZ,0.0020006480626761913
20250113,sell,603839.SH,0.002324245637282729
20250113,buy,603991.SH,0.0037756923120468855
20250113,buy,000633.SZ,0.003544398583471775
20250114,sell,000633.SZ,0.0010071033611893654
20250114,sell,603991.SH,0.0017173029482364655
20250114,buy,002691.SZ,0.003511891234666109
20250114,buy,002310.SZ,0.00335064553655684
20250115,sell,002310.SZ,-0.0003414310049265623
20250115,sell,002691.SZ,0.0009122965857386589
20250115,buy,002712.SZ,0.0033519300632178783
20250115,buy,002115.SZ,0.0033038738183677197
20250116,sell,002115.SZ,-0.0009893369860947132
20250116,sell,002712.SZ,0.0005709591787308455
20250116,buy,002427.SZ,0.003593732137233019
20250116,buy,600620.SH,0.003592069260776043
20250117,sell,002427.SZ,-0.0011615937110036612
20250117,sell,600620.SH,0.0003214217722415924
20250117,buy,603042.SH,0.0031186998821794987
20250117,buy,603001.SH,0.0030360931996256113
20250120,sell,002861.SZ,
20250120,sell,603042.SH,
20250120,buy,000020.SZ,0.003066499251872301
20250120,buy,300502.SZ,0.0029799637850373983
20250121,sell,000020.SZ,-0.00041189719922840595
20250121,sell,000586.SZ,0.0006089743692427874
20250121,buy,603188.SH,0.003325535450130701
20250121,buy,000620.SZ,0.0032053389586508274
20250122,sell,000620.SZ,-0.0008833627216517925
20250122,sell,603188.SH,-0.000526349525898695
20250122,buy,300308.SZ,0.0031778807751834393
20250122,buy,300158.SZ,0.002984889317303896
20250123,sell,300502.SZ,-0.002086702501401305
20250123,sell,601798.SH,0.0010136428754776716
20250123,buy,603729.SH,0.0034035700373351574
20250123,buy,600463.SH,0.0028723652940243483
20250124,sell,603729.SH,0.0008146092295646667
20250124,sell,300006.SZ,0.0009146088268607855
20250124,buy,603007.SH,0.002927880734205246
20250124,buy,601515.SH,0.0029077380895614624
20250127,sell,002856.SZ,0.0010670300107449293
20250127,sell,601086.SH,0.0011781016364693642
20250127,buy,603880.SH,0.0036712968721985817
20250127,buy,000016.SZ,0.0031102695502340794
20250205,sell,603880.SH,-0.0013196039944887161
20250205,sell,300025.SZ,0.0005858329823240638
20250205,buy,300563.SZ,0.0031442451290786266
20250205,buy,603177.SH,0.0031112979631870985
20250206,sell,600807.SH,-0.000910760834813118
20250206,sell,603001.SH,0.0011305366642773151
20250206,buy,600778.SH,0.00299257505685091
20250206,buy,300394.SZ,0.002981927478685975
20250207,sell,000016.SZ,0.0013747469056397676
20250207,sell,600463.SH,0.0018602613126859069
20250207,buy,000761.SZ,0.0031694984063506126
20250207,buy,002016.SZ,0.003107191063463688
20250210,sell,000761.SZ,0.0007087881676852703
20250210,sell,002016.SZ,0.0020550775807350874
20250210,buy,600579.SH,0.00327475368976593
20250210,buy,600533.SH,0.003107707481831312
20250211,sell,600579.SH,-0.0005923626013100147
20250211,sell,300158.SZ,0.0011493308702483773
20250211,buy,300422.SZ,0.0028261463157832623
20250211,buy,603900.SH,0.0025707180611789227
20250212,sell,603900.SH,-0.002108561107888818
20250212,sell,603007.SH,0.001308554201386869
20250212,buy,600187.SH,0.002914504846557975
20250212,buy,603117.SH,0.0029121797997504473
20250213,sell,600187.SH,-0.0008217236027121544
20250213,sell,603117.SH,-0.0005756397731602192
20250213,buy,000702.SZ,0.0027137037832289934
20250213,buy,002269.SZ,0.0026853326708078384
20250214,sell,000702.SZ,-1.2012431398034096e-05
20250214,sell,002269.SZ,0.00015258684288710356
20250214,buy,002052.SZ,0.0029908211436122656
20250214,buy,300502.SZ,0.002692892448976636
20250217,sell,600778.SH,0.001335471635684371
20250217,sell,600533.SH,0.0015240540960803628
20250217,buy,002686.SZ,0.0029174534138292074
20250217,buy,603269.SH,0.0027824509888887405
20250218,sell,603269.SH,-0.0007708102930337191
20250218,sell,002686.SZ,-0.00054951012134552
20250218,buy,000802.SZ,0.002763260155916214
20250218,buy,002187.SZ,0.00257640122435987
20250219,sell,601515.SH,0.001017181552015245
20250219,sell,300502.SZ,0.0011254672426730394
20250219,buy,600246.SH,0.0029350342229008675
20250219,buy,002259.SZ,0.002868711482733488
20250220,sell,600246.SH,7.335096597671509e-06
20250220,sell,300563.SZ,0.0009958480950444937
20250220,buy,002427.SZ,0.0028031880501657724
20250220,buy,000590.SZ,0.0025288662873208523
20250221,sell,000590.SZ,-0.0008801352232694626
20250221,sell,002427.SZ,0.0004015135345980525
20250221,buy,000016.SZ,0.0028693252243101597
20250221,buy,600192.SH,0.002853205893188715
20250224,sell,000016.SZ,-0.0005757773760706186
20250224,sell,600192.SH,-0.00037585338577628136
20250224,buy,600984.SH,0.0032295542769134045
20250224,buy,600965.SH,0.0032158810645341873
20250225,sell,600965.SH,-0.0015044526662677526
20250225,sell,600984.SH,-0.0009590636473149061
20250225,buy,603316.SH,0.0026935897767543793
20250225,buy,600280.SH,0.0025418198201805353
20250226,sell,603316.SH,
20250226,sell,600280.SH,-0.0006422505248337984
20250226,buy,600076.SH,0.0031637316569685936
20250226,buy,603007.SH,0.002856715815141797
20250227,sell,300394.SZ,5.941500421613455e-05
20250227,sell,603177.SH,0.0007698070257902145
20250227,buy,000619.SZ,0.003167774062603712
20250227,buy,300502.SZ,0.0027165990322828293
20250228,sell,600076.SH,-0.0032323391642421484
20250228,sell,002187.SZ,-0.0011981509160250425
20250228,buy,300380.SZ,0.002752083819359541
20250228,buy,002851.SZ,0.0027147254440933466
20250303,sell,300422.SZ,0.0002723942743614316
20250303,sell,002259.SZ,0.0008220779709517956
20250303,buy,300570.SZ,0.0029754885472357273
20250303,buy,000809.SZ,0.0029366696253418922
20250304,sell,002052.SZ,
20250304,sell,000619.SZ,-0.0008715447038412094
20250304,buy,300548.SZ,0.003028526669368148
20250304,buy,300394.SZ,0.0027224610093981028
20250305,sell,000809.SZ,
20250305,sell,000802.SZ,0.0005814005853608251
20250305,buy,002052.SZ,0.0026151062920689583
20250305,buy,000829.SZ,0.0026099809911102057
20250306,sell,002052.SZ,
20250306,sell,000829.SZ,-0.0020452586468309164
20250306,buy,002093.SZ,0.0027682804502546787
20250306,buy,600302.SH,0.00248277117498219
20250307,sell,002093.SZ,
20250307,sell,300308.SZ,0.0010194308124482632
20250307,buy,002114.SZ,0.002418374875560403
20250307,buy,600965.SH,0.0021519120782613754
20250310,sell,600302.SH,-0.001191185088828206
20250310,sell,002114.SZ,-6.72261230647564e-05
20250310,buy,002672.SZ,0.0030361097306013107
20250310,buy,603023.SH,0.003007889725267887
20250311,sell,002672.SZ,0.0008171217050403357
20250311,sell,603007.SH,0.0009313636692240834
20250311,buy,600936.SH,0.0024187136441469193
20250311,buy,600303.SH,0.0022803694009780884
20250312,sell,300394.SZ,0.0007873360300436616
20250312,sell,300380.SZ,0.0008364038076251745
20250312,buy,600831.SH,0.002753856126219034
20250312,buy,002905.SZ,0.002464953111484647
20250313,sell,002905.SZ,
20250313,sell,600936.SH,-0.0034228621516376734
20250313,buy,600403.SH,0.002466451143845916
20250313,buy,002724.SZ,0.0023046708665788174
20250314,sell,002724.SZ,
20250314,sell,002851.SZ,-0.001632744912058115
20250314,buy,300382.SZ,0.002836755011230707
20250314,buy,002309.SZ,0.0027732260059565306
20250317,sell,600403.SH,-0.004174879752099514
20250317,sell,600965.SH,-0.0006699708756059408
20250317,buy,601798.SH,0.002678404562175274
20250317,buy,002141.SZ,0.00266558350995183
20250318,sell,601798.SH,-0.002266226103529334
20250318,sell,002141.SZ,0.0007634017383679748
20250318,buy,600603.SH,0.0024973051622509956
20250318,buy,002397.SZ,0.0024110989179462194
20250319,sell,002397.SZ,-0.0016261632554233074
20250319,sell,600303.SH,0.0011550795752555132
20250319,buy,000809.SZ,0.0023208530619740486
20250319,buy,603007.SH,0.002251287456601858
20250320,sell,002309.SZ,0.0006247239653021097
20250320,sell,300382.SZ,0.0007572553586214781
20250320,buy,300052.SZ,0.003167465329170227
20250320,buy,603363.SH,0.00241984985768795
20250321,sell,603007.SH,
20250321,sell,600831.SH,0.0009763194248080254
20250321,buy,002427.SZ,0.003076958004385233
20250321,buy,300078.SZ,0.0027151345275342464
20250324,sell,002427.SZ,0.00025889230892062187
20250324,sell,603023.SH,0.0008726762607693672
20250324,buy,002861.SZ,0.002715096343308687
20250324,buy,002072.SZ,0.002548646880313754
20250325,sell,002861.SZ,0.00010659708641469479
20250325,sell,600603.SH,0.000987249892205
20250325,buy,300746.SZ,0.0027325814589858055
20250325,buy,002779.SZ,0.002643740503117442
20250326,sell,000809.SZ,0.0008547930046916008
20250326,sell,300502.SZ,0.0014361238572746515
20250326,buy,603001.SH,0.0029493034817278385
20250326,buy,600126.SH,0.002847005147486925
20250327,sell,300548.SZ,0.0012199211632832885
20250327,sell,300746.SZ,0.0014063729904592037
20250327,buy,603278.SH,0.003001369070261717
20250327,buy,600844.SH,0.002922779880464077
20250328,sell,600844.SH,0.00035676336847245693
20250328,sell,603363.SH,0.0008746414678171277
20250328,buy,600589.SH,0.003185203531756997
20250328,buy,603081.SH,0.002853343728929758
