trade_date,nav,portfolio_ret,cost,net_ret,num_positions,turnover
20250102,0.9498128137111663,-0.04988718628883362,0.0003,-0.05018718628883362,10,1.0
20250103,0.9337031401791297,-0.016840893030166625,0.00011999999999999999,-0.016960893030166624,10,0.4
20250106,0.9759499638172835,0.04536652624607086,0.00011999999999999999,0.04524652624607086,10,0.4
20250107,0.9758296038714045,-3.3259391784667967e-06,0.00011999999999999999,-0.0001233259391784668,10,0.4
20250108,0.9973783652727417,0.022202504277229307,0.00011999999999999999,0.02208250427722931,10,0.4
20250109,0.961235218707212,-0.036118149757385254,0.00011999999999999999,-0.036238149757385256,10,0.4
20250110,0.9577631819959169,-0.0034920573234558105,0.00011999999999999999,-0.0036120573234558104,10,0.4
20250113,1.0108028803265103,0.055498719215393066,0.00011999999999999999,0.055378719215393064,10,0.4
20250114,1.0082146777177354,-0.002440541386604311,0.00011999999999999999,-0.002560541386604311,10,0.4
20250115,1.0500042597242831,0.041569091081619255,0.00011999999999999999,0.04144909108161925,10,0.4
20250116,1.0394577541811976,-0.009924250245094302,0.00011999999999999999,-0.010044250245094302,10,0.4
20250117,1.0730982956452053,0.032483548521995545,0.00011999999999999999,0.03236354852199554,10,0.4
20250120,1.0619107221235364,-0.010305488109588623,0.00011999999999999999,-0.010425488109588623,10,0.4
20250121,1.0453279330934422,-0.015495991706848145,0.00011999999999999999,-0.015615991706848145,10,0.4
20250122,1.0372286016516876,-0.007628124952316284,0.00011999999999999999,-0.007748124952316284,10,0.4
20250123,1.0486184111016277,0.01110100209712982,0.00011999999999999999,0.01098100209712982,10,0.4
20250124,1.0479209668986764,-0.0005451077222824119,0.00011999999999999999,-0.0006651077222824119,10,0.4
20250127,1.0562240726839032,0.008043408393859863,0.00011999999999999999,0.007923408393859863,10,0.4
20250205,1.0662067149433871,0.009571254253387451,0.00011999999999999999,0.00945125425338745,10,0.4
20250206,1.0946944697176704,0.026838791370391846,0.00011999999999999999,0.026718791370391848,10,0.4
20250207,1.1342796796566013,0.03628096640110016,0.00011999999999999999,0.036160966401100156,10,0.4
20250210,1.1324105210179305,-0.001527881622314453,0.00011999999999999999,-0.001647881622314453,10,0.4
