epoch,train_loss,valid_loss
1,0.008416652595142609,0.0018977920446604892
2,0.0022202460416432084,0.0009431959197183085
3,0.0012812933679830667,0.0007164035849038323
4,0.0009077183996600196,0.0006314957287268955
5,0.0007169484873382567,0.0005890343690607727
6,0.0006055171091655461,0.0005644733051622052
7,0.0005360484657134732,0.0005484467021113946
8,0.0004913135459807156,0.0005371728407579271
9,0.00046026497298514406,0.0005291712264775768
10,0.00043866318170832276,0.0005234426593118462
11,0.0004229138024223583,0.0005193463145647737
12,0.0004115917254239321,0.00051623764682254
13,0.0004029780423573764,0.0005138603865116435
14,0.0003966746564777889,0.0005122063399861484
15,0.0003915818504475314,0.0005108383540312587
16,0.0003875146272736762,0.0005098207966358286
17,0.00038469817132110996,0.0005090156897157439
18,0.0003821899133919064,0.0005084085005192684
19,0.0003798802665250119,0.0005079662246809945
20,0.0003784828340626675,0.0005075423198872731
21,0.00037728837321929893,0.0005072506647917406
22,0.0003760214925117405,0.0005069618313748113
23,0.0003750849969821565,0.000506789219285165
24,0.000374349064980473,0.0005065770340089923
25,0.00037367067677129443,0.0005064548555393255
26,0.0003731481842335378,0.0005063604732890528
27,0.00037263298672142215,0.0005062651965068897
28,0.00037219277171594704,0.0005061539645271365
29,0.00037181911365819517,0.0005060961379016124
30,0.0003715546757528751,0.0005060623268812375
31,0.0003712185706686357,0.0005059989103105986
32,0.00037100416676398237,0.0005059563075303699
33,0.00037077898540983684,0.0005059441163793585
34,0.0003706295548030978,0.0005058753490940483
35,0.00037043646242919154,0.0005058548502163505
36,0.0003702633041719874,0.0005058593459213429
37,0.000370173512331756,0.000505799935691688
38,0.0003700932454727269,0.0005057926193191878
39,0.00036993219240183205,0.0005058057690916372
40,0.0003698281055629446,0.000505824997488842
41,0.0003697097578471334,0.0005056993702126702
42,0.00036967129362265355,0.0005058007080673808
43,0.0003695790776340612,0.0005057299696515173
44,0.00036952565805504806,0.0005057142634353856
45,0.00036943337231762065,0.0005056874216733589
46,0.00036940617428626865,0.0005057092434371431
47,0.0003693560911101642,0.0005056854602723402
48,0.0003692893981773021,0.0005056760211523713
49,0.00036925204591986175,0.0005056578049695771
50,0.00036921414620933477,0.0005058154745372035
51,0.00036915611568035493,0.000505781741562442
52,0.00036913763625338544,0.0005056793293046895
53,0.00036911529354381793,0.0005057255394598179
54,0.00036909540609360254,0.000505700995271714
55,0.0003690440860047037,0.0005057321537857003
56,0.00036902600399555703,0.0005057052781258984
57,0.00036900204501981877,0.0005056647401152646
